"Generation Count,"	Fitness	Mean_fitness	Mean_fitness	Eat_count		
1	379	40.91	0	0		
2	685	137.24	0	0		
3	729	115.87	0	0		
4	820	181.94	55	11		
5	833	243.8	195	39		
6	833	297.7	210	42		
7	864	374.03	595	119		
8	864	372.36	680	136		
9	889	401.04	1220	244		
10	889	415.05	1010	202		
11	892	420.8	900	180		
12	903	381.66	1880	376		
13	910	399.95	3255	651		
14	921	455.44	4715	943		
15	923	515.74	7980	1596		
16	923	514.98	8875	1775		
17	924	538.7	9515	1903		
18	947	561.17	9830	1966		
19	947	551.9	13575	2715		
20	947	624.25	16800	3360		
21	947	629.62	17060	3412		
22	947	577.84	17875	3575		
23	952	732.52	23725	4745		
24	952	676.43	20375	4075		
25	955	761.65	23240	4648		
						
						
						
						
						
						
						
						
						Ploating of fitness vlaue 
